_id,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,siteID,spaceID,stationID,userID,duracion_horas
5e3cbdbdf9af8b0661a41301,2020-01-21 16:48:52+00:00,2020-01-21 17:13:50+00:00,2020-01-21 17:13:45+00:00,2.572,0002,CA-322,2-39-78-360,000000171,0.4161111111111111
5e3cbdbdf9af8b0661a41302,2020-01-21 16:53:23+00:00,2020-01-22 04:24:43+00:00,2020-01-21 21:36:19+00:00,15.858,0002,CA-305,2-39-131-30,000000712,11.522222222222222
5e3cbdbdf9af8b0661a41303,2020-01-21 16:57:14+00:00,2020-01-22 04:46:52+00:00,2020-01-21 18:54:38+00:00,5.837,0002,CA-317,2-39-91-437,000001222,11.827222222222222
5e3cbdbdf9af8b0661a41304,2020-01-21 17:07:47+00:00,2020-01-22 00:20:20+00:00,2020-01-21 21:30:49+00:00,11.175,0002,CA-324,2-39-79-376,000001137,7.2091666666666665
5e3cbdbdf9af8b0661a41305,2020-01-21 17:08:25+00:00,2020-01-21 20:05:17+00:00,2020-01-21 19:09:43+00:00,5.942,0002,CA-325,2-39-79-377,000005368,2.9477777777777776
5e3cbdbdf9af8b0661a41306,2020-01-21 17:14:16+00:00,2020-01-22 01:27:06+00:00,2020-01-21 18:35:53+00:00,3.887,0002,CA-315,2-39-89-25,000000743,8.213888888888889
5e3cbdbdf9af8b0661a41307,2020-01-21 17:15:00+00:00,2020-01-22 03:15:02+00:00,2020-01-21 18:33:00+00:00,4.252,0002,CA-307,2-39-129-17,000000567,10.000555555555556
5e3cbdbdf9af8b0661a41308,2020-01-21 17:31:16+00:00,2020-01-22 00:52:01+00:00,2020-01-22 00:02:30+00:00,7.761,0002,CA-322,2-39-78-360,000000171,7.345833333333333
5e3cbdbdf9af8b0661a41309,2020-01-21 17:34:08+00:00,2020-01-22 01:15:35+00:00,2020-01-21 20:38:37+00:00,19.377,0002,CA-498,2-39-92-442,000001104,7.690833333333333
5e3cbdbdf9af8b0661a4130a,2020-01-21 17:34:24+00:00,2020-01-21 19:46:09+00:00,2020-01-21 19:46:04+00:00,5.933,0002,CA-490,2-39-79-381,000003176,2.1958333333333333
5e3cbdbdf9af8b0661a4130b,2020-01-21 17:36:24+00:00,2020-01-21 23:45:29+00:00,2020-01-21 19:57:02+00:00,1.171,0002,CA-493,2-39-78-361,,6.151388888888889
5e3cbdbdf9af8b0661a4130c,2020-01-21 17:39:35+00:00,2020-01-22 01:41:20+00:00,2020-01-21 18:46:53+00:00,3.37,0002,CA-313,2-39-123-23,000002170,8.029166666666667
5e3cbdbdf9af8b0661a4130d,2020-01-21 17:45:36+00:00,2020-01-22 02:42:36+00:00,2020-01-22 02:42:31+00:00,8.272,0002,CA-500,2-39-90-440,000001534,8.95
5e3cbdbdf9af8b0661a4130e,2020-01-21 17:58:46+00:00,2020-01-22 01:16:14+00:00,2020-01-22 00:50:24+00:00,0.825,0002,CA-321,2-39-78-365,,7.291111111111111
5e3cbdbdf9af8b0661a4130f,2020-01-21 18:00:22+00:00,2020-01-22 02:12:41+00:00,2020-01-21 20:12:30+00:00,11.958,0002,CA-311,2-39-125-21,000001095,8.205277777777777
5e3cbdbdf9af8b0661a41310,2020-01-21 18:06:50+00:00,2020-01-22 03:12:13+00:00,2020-01-21 20:37:45+00:00,15.123,0002,CA-318,2-39-92-436,000000558,9.089722222222223
