soc_llegada,soc_salida
93.0,100.0
1.0,28.9999999999999
82.9997430626927,90.0
86.0,99.0
40.0,70.0
81.0,90.0
13.0,35.99
66.0,80.0
16.0,48.0
35.0,53.0
24.0,41.0
22.0,40.0
37.0,54.0
31.0,62.0
21.0,35.99
31.0,61.0
48.0,64.0
21.0,46.0
81.0,90.0
71.9990054699154,81.9990054699154
33.0,63.0
15.0,49.0
55.0,84.0
35.0,63.0
46.9899999999999,85.0
13.0,35.0
11.0,45.0
17.0,47.0
11.0,41.0
20.0,40.0
17.0,50.0
56.9899999999999,73.0
30.0,53.0
30.0,58.9899999999999
31.0,66.0
68.0,100.0
16.0,51.0
12.0,45.0
20.0,41.0
52.0,70.0
2.0,12.0
34.0,60.0
28.9999999999999,56.9899999999999
11.0,41.0
23.0,55.0
56.0,71.0
64.0,86.0
49.0,70.0
25.0,62.0
5.0,49.0
46.9899999999999,68.0
27.9997427321842,50.0
54.0,79.0
25.0,53.0
51.0,88.0
17.0,38.0
34.0,60.0
12.0,53.0
65.0,93.99
21.0,48.0
33.0,57.9999999999999
10.0,42.0
46.9899999999999,80.0
11.0,46.0
28.0,56.998
60.0,82.0
51.0,79.0
34.0,49.0
24.0,44.0
71.99,91.0
35.0,57.9999999999999
26.0,46.0
21.0,46.9899999999999
32.0,65.0
66.9990054699154,80.0
80.9995027349577,90.0
25.0,46.0
79.0,93.0
19.0,32.0
50.0,71.0
40.0,60.0
81.0,97.0
48.0,58.9899999999999
48.0,77.0
14.0,39.0
37.0,64.0
12.0,39.0
23.0,62.0
62.0,79.0
12.0,45.0
44.0,90.0
30.0,57.9999999999999
14.0,38.0
64.0,81.0
16.9989916813713,45.0
31.0,61.0
35.0,68.0
21.0,54.0
20.0,53.0
14.0,28.9999999999999
28.9999999999999,78.0
76.0,85.0
4.0,44.0
68.0,89.0
16.0,44.0
54.0,75.0
40.0,62.0
53.0,90.0
16.0,43.0
42.0,67.0
74.0,90.0
22.0,62.0
23.0,40.0
32.0,53.0
13.0,52.0
12.0,41.0
28.0,53.0
51.0,70.0
12.0,54.0
19.0,33.0
67.0,84.0
16.0,33.0
23.0,49.0
16.0,49.0
61.0,71.0
53.0,71.99
16.0,57.9999999999999
93.99,99.0
78.0,87.0
14.0,54.0
38.0,75.0
16.0,54.0
71.99,88.0
64.0,80.0
38.0,78.0
42.0,81.0
48.0,84.0
2.0,17.99
33.0,61.0
13.0,23.0
17.99,50.0
67.0,82.99
28.0,60.0
13.0,49.0
40.0,57.9999999999999
17.0,46.0
32.0,49.0
41.0,80.0
34.9946524064171,50.9946524064171
19.0,58.9899999999999
15.0,60.0
38.0,68.99
26.0,48.0
77.9997513674788,90.0
63.0,95.0
11.0,54.0
8.99,32.0
16.0,67.0
32.0,67.0
56.9899999999999,80.0
30.999415546464,71.9988310929281
48.0,71.0
17.99,57.9999999999999
10.0,58.9899999999999
43.0,72.0
20.0,60.0
5.0,49.0
7.0,49.0
44.0,66.0
26.0,63.0
20.0,52.0
55.0,93.0
35.0,66.0
78.0,89.0
49.0,74.0
49.0,81.0
28.0,58.9899999999999
41.0,68.99
43.0,86.0
34.0,67.0
21.0,33.0
56.9899999999999,77.0
